Algorithm,nn,sim,bin,strat,val,h,nt,thres,w,nDCGRendle2020,Recall,HR,Precision,MAP,MRR,ItemCoverage,ACLT,APLT,Gini,SEntropy,EFD,EPC,PopREO,PopRSP,Filename_Model,CR
UserFairANN,50,jaccard,False,opt,False,1,4,0$5,1,0.0976781412073203,0.1166910039724507,0.5626326963906582,0.056900212314225,0.0679794819523317,0.1847735437810815,201.0,0.0010615711252653,5.307855626326964e-05,0.0391339092770438,6.184663165193526,0.4673331544120244,0.04492138742495,1.0,0.9999636869721232,UserFairANN,0.0515898774347392
UserFairANN,250,jaccard,False,uniform,False,1,4,0$5,1,0.1010177814015887,0.1141771002480958,0.5509554140127388,0.0594479830148619,0.0708954948593044,0.1955685359765589,114.0,0.0,0.0,0.0261853422798481,5.558427991759127,0.4886726427124186,0.0467373830783072,1.0,1.0,UserFairANN,0.226373844329948
UserFairANN,100,jaccard,False,rank,False,1,4,0$5,1,0.0972393912669472,0.1130980520725161,0.5403397027600849,0.0572186836518046,0.0684539080701094,0.1830131228422526,137.0,0.0,0.0,0.030397896087397,5.806840049333619,0.4678500144738468,0.0448452085394934,1.0,1.0,UserFairANN,0.1005810467857609
UserFairANN,250,jaccard,False,opt,False,1,4,0$5,1,0.0995294480857883,0.1155588449084565,0.5498938428874734,0.0588110403397027,0.0699603937422039,0.1896578188590769,110.0,0.0,0.0,0.0254899225612628,5.511769860910932,0.4802546701068858,0.0458984352522728,1.0,1.0,UserFairANN,0.2317729815498487
UserFairANN,100,jaccard,False,no_sampling,False,1,4,0$5,1,0.1644500558698121,0.2071720915969529,0.7388535031847133,0.0912420382165605,0.1096164464274686,0.2718799547565742,268.0,0.0573248407643312,0.0028662420382165,0.0765622906608535,7.11610145461755,0.791640718810285,0.0780827240462651,0.9880179194796812,0.9980354601973168,UserFairANN,0.9515869474082788
UserFairANN,50,jaccard,False,rank,False,1,4,0$5,1,0.1008325650582254,0.1188891568279867,0.559447983014862,0.058864118895966,0.0695458968897855,0.1919973618528912,199.0,0.0,0.0,0.0387562516057543,6.169400851647741,0.483753143597517,0.0465496191306705,1.0,1.0,UserFairANN,0.0516496048972011
UserFairANN,50,jaccard,False,uniform,False,1,4,0$5,1,0.0975395815228121,0.1141141774785951,0.5583864118895966,0.056900212314225,0.0689071391096223,0.1881163640494702,201.0,0.0,0.0,0.0401260487644951,6.219781559140492,0.4734512548833106,0.0455769712749103,1.0,1.0,UserFairANN,0.0513746331832258
UserFairANN,100,jaccard,False,uniform,False,1,4,0$5,1,0.1020427981714532,0.1174727622172314,0.5605095541401274,0.0600318471337579,0.0709789848206069,0.1954952636537992,146.0,0.0,0.0,0.0314149395448248,5.857361855462462,0.4936103612060764,0.0473631152726044,1.0,1.0,UserFairANN,0.099326770074062
UserFairANN,50,jaccard,False,no_sampling,False,1,4,0$5,1,0.1685446289982273,0.2078486488694876,0.7303609341825902,0.0909235668789809,0.1132418557021638,0.2872327928818384,375.0,0.2558386411889596,0.0127919320594479,0.0960485438270467,7.449411122777799,0.8171847357163954,0.0808369150979447,0.9700532572738576,0.9911745880167846,UserFairANN,0.9515869474082788
UserFairANN,250,jaccard,False,rank,False,1,4,0$5,1,0.0983981912105505,0.1129600159802848,0.5414012738853503,0.0575902335456475,0.069997509791933,0.1912506208875586,107.0,0.0,0.0,0.0254851939593687,5.513888547129633,0.4749289183347098,0.0453510312770238,1.0,1.0,UserFairANN,0.2315261831672233
UserFairANN,250,jaccard,False,approx_degree,False,1,4,0$5,1,0.1003229206351803,0.1170030225452453,0.5573248407643312,0.0589171974522293,0.0703666535766203,0.1916987624348946,106.0,0.0,0.0,0.0254814110778528,5.510462152929864,0.481042123951067,0.0459720141999981,1.0,1.0,UserFairANN,0.2313853165104737
UserFairANN,250,jaccard,False,no_sampling,False,1,4,0$5,1,0.1499410802902855,0.1956019003591703,0.7123142250530785,0.0856687898089171,0.098542238467532,0.2435097780021711,176.0,0.0,0.0,0.055086714677738,6.640207425353647,0.7103016754833424,0.069686152101616,1.0,1.0,UserFairANN,0.9515869474082788
