Algorithm,nn,sim,imp,bin,shrink,norm,asymalpha,tvalpha,tvbeta,rweights,nDCGRendle2020,Recall,HR,Precision,MAP,MRR,ItemCoverage,ACLT,APLT,Gini,SEntropy,EFD,EPC,PopREO,PopRSP,Filename_Model,strat,val,h,t,thres,w,nb,nt,preposp,tr,k,CR
UserFairANN,250,cosine,,False,,,,,,,0.0434624828374432,0.0452841994462468,0.3428874734607218,0.0259023354564755,0.0336892252713277,0.1081929267441286,1053.0,5.552016985138004,0.2776008492569002,0.3503460548486296,9.286443348334064,0.2550964439449729,0.0248208705936342,0.6655286657864822,0.7676521924700223,UserFairANN,opt,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0088554415099102
UserFairANN,100,cosine,,False,,,,,,,0.0434624828374432,0.0452841994462468,0.3428874734607218,0.0259023354564755,0.0336892252713277,0.1081929267441286,1053.0,5.552016985138004,0.2776008492569002,0.3503460548486296,9.286443348334064,0.2550964439449729,0.0248208705936342,0.6655286657864822,0.7676521924700223,UserFairANN,no_sampling,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0088554415099102
UserFairANN,250,cosine,,False,,,,,,,0.0434624828374432,0.0452841994462468,0.3428874734607218,0.0259023354564755,0.0336892252713277,0.1081929267441286,1053.0,5.552016985138004,0.2776008492569002,0.3503460548486296,9.286443348334064,0.2550964439449729,0.0248208705936342,0.6655286657864822,0.7676521924700223,UserFairANN,approx_degree,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0088554415099102
UserFairANN,100,cosine,,False,,,,,,,0.0432840034995758,0.0450188066649304,0.3418259023354564,0.0258492569002123,0.0335955731309981,0.1079275339628123,1053.0,5.557324840764331,0.2778662420382166,0.3506917156471011,9.287961315040455,0.2546317280942136,0.024777163747346,0.6648900671602415,0.7673803675447232,UserFairANN,approx_degree,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0088227604455443
UserFairANN,50,cosine,,False,,,,,,,0.0433884280167112,0.0452681936432815,0.3439490445859872,0.0259023354564755,0.0335634699119261,0.1083983251230002,1055.0,5.567940552016985,0.2783970276008493,0.3515542126326179,9.291073727633584,0.2548846562936115,0.0247940206636936,0.6655286657864822,0.7668363690470126,UserFairANN,approx_degree,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0086458319246667
UserFairANN,50,cosine,,False,,,,,,,0.0430012248110549,0.0448507947798272,0.340764331210191,0.025796178343949,0.0334038254636288,0.1074696993138012,1053.0,5.590233545647559,0.2795116772823779,0.3516359386353569,9.291653123506538,0.2539184841422252,0.0247054760992165,0.658137015229024,0.7656924567423422,UserFairANN,opt,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0086345625921267
UserFairANN,50,cosine,,False,,,,,,,0.0369400413730415,0.0414580999460187,0.3152866242038216,0.0232484076433121,0.0275656249340213,0.0878050549389115,1072.0,6.183651804670913,0.3091825902335456,0.3667197846279458,9.3557823598655,0.2205040044594601,0.021502332957816,0.5971166253001837,0.7344683280830334,UserFairANN,uniform,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0057969446585617
UserFairANN,100,cosine,,False,,,,,,,0.0435971895977666,0.0456380564880019,0.3439490445859872,0.0259554140127388,0.0337129077198724,0.108273348799073,1053.0,5.552016985138004,0.2776008492569002,0.350349995350208,9.286441990389708,0.2554343806728532,0.0248555089248971,0.6661648351648352,0.7676521924700223,UserFairANN,rank,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0088362836445922
UserFairANN,250,cosine,,False,,,,,,,0.0434624828374432,0.0452841994462468,0.3428874734607218,0.0259023354564755,0.0336892252713277,0.1081929267441286,1053.0,5.552016985138004,0.2776008492569002,0.3503460548486296,9.286443348334064,0.2550964439449729,0.0248208705936342,0.6655286657864822,0.7676521924700223,UserFairANN,no_sampling,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0088554415099102
UserFairANN,50,cosine,,False,,,,,,,0.0434624828374432,0.0452841994462468,0.3428874734607218,0.0259023354564755,0.0336892252713277,0.1081929267441286,1053.0,5.552016985138004,0.2776008492569002,0.3503460548486296,9.286443348334064,0.2550964439449729,0.0248208705936342,0.6655286657864822,0.7676521924700223,UserFairANN,no_sampling,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0088554415099102
UserFairANN,250,cosine,,False,,,,,,,0.0425096871012173,0.0440743495346766,0.3365180467091295,0.0256369426751592,0.0330084621365975,0.1052178851544373,1053.0,5.611464968152866,0.2805732484076433,0.3530259111621799,9.298111924506022,0.2502766009828776,0.0243587679167189,0.6684727204252899,0.7646011034089816,UserFairANN,uniform,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0085568041976009
UserFairANN,100,cosine,,False,,,,,,,0.0422707567721184,0.0453072144858993,0.3503184713375796,0.0259023354564755,0.0326303433464786,0.104154759279387,1064.0,5.8354564755838645,0.2917728237791932,0.3614273757678067,9.336906207826267,0.2499968453194314,0.0243958208573244,0.6594381631269355,0.7529723755165431,UserFairANN,uniform,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0075008677386055
UserFairANN,50,cosine,,False,,,,,,,0.0431582836239069,0.0450376949684662,0.340764331210191,0.0258492569002123,0.0334500301846328,0.1074510829337198,1053.0,5.589171974522293,0.2794585987261146,0.3515881009461932,9.291552187702845,0.2543212455909023,0.0247355370436182,0.6587888295972893,0.7657469753745122,UserFairANN,rank,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0086593551237147
UserFairANN,100,cosine,,False,,,,,,,0.043210218933303,0.0449303424044916,0.3418259023354564,0.0258492569002123,0.0335712454593774,0.107824325658967,1053.0,5.553078556263269,0.2776539278131635,0.3504446461981251,9.286874178049308,0.2543991480802063,0.0247504222040839,0.6648900671602415,0.7675978367766573,UserFairANN,opt,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0088283951118143
UserFairANN,250,cosine,,False,,,,,,,0.0434624828374432,0.0452841994462468,0.3428874734607218,0.0259023354564755,0.0336892252713277,0.1081929267441286,1053.0,5.552016985138004,0.2776008492569002,0.3503460548486296,9.286443348334064,0.2550964439449729,0.0248208705936342,0.6655286657864822,0.7676521924700223,UserFairANN,rank,False,12.0,23.0,0$5,1.0,,23.0,,,,0.0088554415099102
ItemANNfaissLSH,100,cosine,,False,,,,,,,0.0017532862462257,0.0018786289338787,0.0233545647558386,0.0011677282377919,0.0011431871329378,0.0042068750720473,1205.0,18.8864118895966,0.94432059447983,0.3338515092909146,9.173854403815906,0.0143111999799785,0.0010811451935931,0.8319057960262758,0.7059372686679694,ItemANNfaissLSH,nan,,,,,,12.0,23.0,,,,0.7693687317842016
ItemANNfaissLSH,250,cosine,,False,,,,,,,0.0012984053213757,0.0012231540741032,0.0159235668789808,0.0009023354564755,0.0011801479024073,0.0040516326297517,1087.0,19.479830148619957,0.9739915074309978,0.2870662492887395,9.001881573692536,0.0134754305096799,0.0010163052678609,0.9299033090902954,0.8551740229609327,ItemANNfaissLSH,nan,,,,,,12.0,23.0,,,,0.9738754633746886
ItemANNfaissLSH,50,cosine,,False,,,,,,,0.0025628104556647,0.0031054753179164,0.0297239915074309,0.0016985138004246,0.0018701522658011,0.0059370511154887,1257.0,18.819532908704883,0.9409766454352442,0.3757629993206574,9.312362036961355,0.0212807948607438,0.0016665830306093,0.7201051121870459,0.6900772836693181,ItemANNfaissLSH,nan,,,,,,12.0,23.0,,,,0.5214979439811921
ItemKNNfairness,100,jaccard,,False,,,,,,,0.1197394805515267,0.153002104518645,0.6666666666666666,0.0693205944798301,0.0769686850405099,0.2055680119358364,865.0,4.2717622080679405,0.213588110403397,0.1777679265238314,8.311523462253787,0.666864338859611,0.0644040928037691,0.5019767674923202,0.8299901967404856,ItemKNNfairness,nan,,,,,,,,interactions-items,,,1.0
ItemKNNfairness,100,jaccard,,False,,,,,,,0.1197394805515267,0.153002104518645,0.6666666666666666,0.0693205944798301,0.0769686850405099,0.2055680119358364,865.0,4.2717622080679405,0.213588110403397,0.1777679265238314,8.311523462253787,0.666864338859611,0.0644040928037691,0.5019767674923202,0.8299901967404856,ItemKNNfairness,nan,,,,,,,,interactions-items,,,1.0
ItemKNNfairness,100,cosine,,False,,,,,,,0.1154088763526173,0.1413617237296336,0.6581740976645435,0.0664543524416136,0.0780852661594389,0.207176112819489,983.0,5.604033970276008,0.2802016985138004,0.2094627993007974,8.498697078216486,0.6476983012198836,0.0619376515746775,0.4632432048670464,0.7649832896858503,ItemKNNfairness,nan,,,,,,,,interactions-items,,,1.0
ItemKNNfairness,100,cosine,,False,,,,,,,0.1154088763526173,0.1413617237296336,0.6581740976645435,0.0664543524416136,0.0780852661594389,0.207176112819489,983.0,5.604033970276008,0.2802016985138004,0.2094627993007974,8.498697078216486,0.6476983012198836,0.0619376515746775,0.4632432048670464,0.7649832896858503,ItemKNNfairness,nan,,,,,,,,interactions-items,,,1.0
ItemKNNfairness,50,jaccard,,False,,,,,,,0.1125289211754085,0.1434443711697982,0.6443736730360934,0.0650743099787685,0.0738731161280694,0.1988107127342204,921.0,5.089171974522293,0.2544585987261146,0.1950065175896113,8.43286831950225,0.6376202022279699,0.0612752918329761,0.4160756737491602,0.790916870440492,ItemKNNfairness,nan,,,,,,,,interactions-items,,,1.0
