Type,Algorithm,Similarity,Algorithm_Variant,Hypervolume,Points_in_Frontier,Total_Points,Threshold
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard) [th: 0.5],0.0010467141900476608,1,3,0.5
Item,ItemKNNfairness_interactions-items,jaccard,ItemKNNfairness_interactions-items (jaccard) [th: 0.95],0.0010467141900476608,1,3,0.95
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard) [th: 0.05],0.0010467141900476608,1,3,0.05
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard) [th: 0.5],0.0010467141900476608,1,3,0.5
Item,ItemKNNfairness_interactions-users,jaccard,ItemKNNfairness_interactions-users (jaccard) [th: 0.75],0.0010467141900476608,1,3,0.75
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine) [th: 0.05],0.001011139134549372,1,3,0.05
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine) [th: 0.25],0.001011139134549372,1,3,0.25
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine) [th: 0.5],0.001011139134549372,1,3,0.5
Item,ItemKNNfairness_interactions-items,cosine,ItemKNNfairness_interactions-items (cosine) [th: 0.95],0.001011139134549372,1,3,0.95
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine) [th: 0.05],0.001011139134549372,1,3,0.05
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine) [th: 0.25],0.001011139134549372,1,3,0.25
Item,ItemKNNfairness_interactions-users,cosine,ItemKNNfairness_interactions-users (cosine) [th: 0.75],0.001011139134549372,1,3,0.75
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.05],0.17832946601161173,1,3,0.05
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.25],0.17832946601161173,1,3,0.25
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.5],0.17832946601161173,1,3,0.5
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.75],0.17832946601161173,1,3,0.75
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.95],0.17832946601161173,1,3,0.95
User,UserMinhashing,jaccard,UserMinhashing (jaccard) [th: 0.75],0.12636235153221387,1,3,0.75
User,UserFairANN_approx_degree,jaccard,UserFairANN_approx_degree (jaccard) [th: 0.75],0.12038166763914727,3,3,0.75
User,UserFairANN_uniform,jaccard,UserFairANN_uniform (jaccard) [th: 0.75],0.12037580443102197,3,3,0.75
User,UserFairANN_rank,jaccard,UserFairANN_rank (jaccard) [th: 0.75],0.12013509628908751,3,3,0.75
User,UserFairANN_opt,jaccard,UserFairANN_opt (jaccard) [th: 0.75],0.11991254310268105,3,3,0.75
User,UserFairANN_uniform,jaccard,UserFairANN_uniform (jaccard) [th: 0.05],0.10859838239781201,2,3,0.05
User,UserFairANN_rank,jaccard,UserFairANN_rank (jaccard) [th: 0.5],0.10721907992643749,3,3,0.5
User,UserFairANN_uniform,jaccard,UserFairANN_uniform (jaccard) [th: 0.25],0.1071911296351024,2,3,0.25
User,UserFairANN_opt,jaccard,UserFairANN_opt (jaccard) [th: 0.5],0.10709001083454561,3,3,0.5
