Type,Algorithm,Similarity,Algorithm_Variant,Hypervolume,Points_in_Frontier,Total_Points,Threshold
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.05],0.0046332188036563755,1,3,0.05
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.25],0.0046332188036563755,1,3,0.25
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.5],0.0046332188036563755,1,3,0.5
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.75],0.0046332188036563755,1,3,0.75
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.95],0.0046332188036563755,1,3,0.95
User,UserFairANN_opt,cosine,UserFairANN_opt (cosine) [th: 0.25],0.004611119475838006,3,3,0.25
User,UserFairANN_approx_degree,cosine,UserFairANN_approx_degree (cosine) [th: 0.05],0.004586417146159973,3,3,0.05
User,UserLSHRandomProjection,cosine,UserLSHRandomProjection (cosine) [th: 0.5],0.00447531677413719,2,3,0.5
User,UserFairANN_rank,cosine,UserFairANN_rank (cosine) [th: 0.05],0.004424307240657338,3,3,0.05
User,UserFairANN_approx_degree,cosine,UserFairANN_approx_degree (cosine) [th: 0.25],0.004199529366990097,3,3,0.25
User,UserMinhashing,jaccard,UserMinhashing (jaccard) [th: 0.05],0.004119947771746454,1,3,0.05
User,UserMinhashing,jaccard,UserMinhashing (jaccard) [th: 0.25],0.0040693770537069286,1,3,0.25
User,UserMinhashing,jaccard,UserMinhashing (jaccard) [th: 0.5],0.003757912940015393,1,3,0.5
User,UserMinhashing,jaccard,UserMinhashing (jaccard) [th: 0.75],0.0016048931442607369,1,3,0.75
User,UserFairANN_uniform,jaccard,UserFairANN_uniform (jaccard) [th: 0.75],0.0014092944242261873,3,3,0.75
User,UserFairANN_rank,jaccard,UserFairANN_rank (jaccard) [th: 0.75],0.0013086688963063115,3,3,0.75
User,UserFairANN_approx_degree,jaccard,UserFairANN_approx_degree (jaccard) [th: 0.75],0.001305275858151548,3,3,0.75
User,UserFairANN_opt,jaccard,UserFairANN_opt (jaccard) [th: 0.75],0.0013004867933855287,3,3,0.75
User,UserFairANN_uniform,jaccard,UserFairANN_uniform (jaccard) [th: 0.05],0.001139126087292998,1,3,0.05
User,UserFairANN_opt,jaccard,UserFairANN_opt (jaccard) [th: 0.5],0.00113001236525446,2,3,0.5
User,UserFairANN_rank,jaccard,UserFairANN_rank (jaccard) [th: 0.5],0.001123177517251327,1,3,0.5
User,UserFairANN_uniform,jaccard,UserFairANN_uniform (jaccard) [th: 0.25],0.001120427981714532,1,3,0.25
User,UserFairANN_approx_degree,jaccard,UserFairANN_approx_degree (jaccard) [th: 0.25],0.00111787337947495,1,3,0.25
User,UserFairANN_opt,jaccard,UserFairANN_opt (jaccard) [th: 0.05],0.001112157623510673,1,3,0.05
User,UserFairANN_approx_degree,jaccard,UserFairANN_approx_degree (jaccard) [th: 0.05],0.0011117989092821986,2,3,0.05
User,UserFairANN_uniform,jaccard,UserFairANN_uniform (jaccard) [th: 0.5],0.001111154577487885,1,3,0.5
User,UserFairANN_rank,jaccard,UserFairANN_rank (jaccard) [th: 0.25],0.001108325650582254,1,3,0.25
User,UserFairANN_rank,jaccard,UserFairANN_rank (jaccard) [th: 0.05],0.001104170167860331,1,3,0.05
User,UserFairANN_opt,jaccard,UserFairANN_opt (jaccard) [th: 0.25],0.00110100988113428,2,3,0.25
User,UserFairANN_approx_degree,jaccard,UserFairANN_approx_degree (jaccard) [th: 0.5],0.001095091855710494,1,3,0.5
