Type,Algorithm,Similarity,Algorithm_Variant,Hypervolume,Points_in_Frontier,Total_Points,Threshold
Item,ItemMinhashing,jaccard,ItemMinhashing (jaccard) [th: 0.05],8.240665518517803e-05,1,3,0.05
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.05],5.081316284326098e-05,3,3,0.05
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.25],5.081316284326098e-05,3,3,0.25
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.5],5.081316284326098e-05,3,3,0.5
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.75],5.081316284326098e-05,3,3,0.75
Item,ItemKNN,cosine,ItemKNN (cosine) [th: 0.95],5.081316284326098e-05,3,3,0.95
Item,ItemKNN,jaccard,ItemKNN (jaccard) [th: 0.05],4.7630241699399864e-05,3,3,0.05
Item,ItemKNN,jaccard,ItemKNN (jaccard) [th: 0.75],4.7630241699399864e-05,3,3,0.75
Item,ItemKNN,jaccard,ItemKNN (jaccard) [th: 0.25],4.763024169939986e-05,3,3,0.25
Item,ItemKNN,jaccard,ItemKNN (jaccard) [th: 0.5],4.763024169939986e-05,3,3,0.5
Item,ItemKNN,jaccard,ItemKNN (jaccard) [th: 0.95],4.763024169939986e-05,3,3,0.95
User,UserFairANN_uniform,cosine,UserFairANN_uniform (cosine) [th: 0.75],0.021417355724670115,3,3,0.75
User,UserFairANN_uniform,cosine,UserFairANN_uniform (cosine) [th: 0.95],0.019576252788454748,3,3,0.95
User,UserFairANN_rank,cosine,UserFairANN_rank (cosine) [th: 0.95],0.01920883712638322,2,3,0.95
User,UserFairANN_opt,cosine,UserFairANN_opt (cosine) [th: 0.95],0.019173698815412775,1,3,0.95
User,UserFairANN_approx_degree,cosine,UserFairANN_approx_degree (cosine) [th: 0.95],0.019173677320129662,1,3,0.95
User,UserLSHRandomProjection,cosine,UserLSHRandomProjection (cosine) [th: 0.95],0.019171893211631465,3,3,0.95
User,UserFairANN_rank,cosine,UserFairANN_rank (cosine) [th: 0.75],0.018846093226631274,3,3,0.75
User,UserFairANN_opt,cosine,UserFairANN_opt (cosine) [th: 0.75],0.018833841025450358,3,3,0.75
User,UserFairANN_approx_degree,cosine,UserFairANN_approx_degree (cosine) [th: 0.75],0.01847529335153072,3,3,0.75
User,UserLSHRandomProjection,cosine,UserLSHRandomProjection (cosine) [th: 0.75],0.018437371317654,3,3,0.75
User,UserFairANN_uniform,cosine,UserFairANN_uniform (cosine) [th: 0.5],0.013682456447778638,3,3,0.5
User,UserFairANN_uniform,jaccard,UserFairANN_uniform (jaccard) [th: 0.95],0.013582949619151869,3,3,0.95
User,UserFairANN_approx_degree,jaccard,UserFairANN_approx_degree (jaccard) [th: 0.95],0.013582825134254276,3,3,0.95
User,UserFairANN_rank,jaccard,UserFairANN_rank (jaccard) [th: 0.95],0.013566310471761558,3,3,0.95
User,UserFairANN_opt,jaccard,UserFairANN_opt (jaccard) [th: 0.95],0.013550071649469643,3,3,0.95
User,UserMinhashing,jaccard,UserMinhashing (jaccard) [th: 0.95],0.013533644486813346,3,3,0.95
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.05],0.010316593247812979,1,3,0.05
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.25],0.010316593247812979,1,3,0.25
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.5],0.010316593247812979,1,3,0.5
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.75],0.010316593247812979,1,3,0.75
User,UserANNOY,cosine,UserANNOY (cosine) [th: 0.95],0.010316593247812979,1,3,0.95
User,UserLSHRandomProjection,cosine,UserLSHRandomProjection (cosine) [th: 0.25],0.009101784028869972,3,3,0.25
User,UserFairANN_uniform,cosine,UserFairANN_uniform (cosine) [th: 0.25],0.007926132082824035,3,3,0.25
User,UserFairANN_rank,cosine,UserFairANN_rank (cosine) [th: 0.5],0.0073380347688248,3,3,0.5
User,UserFairANN_approx_degree,cosine,UserFairANN_approx_degree (cosine) [th: 0.5],0.0068014004438067144,3,3,0.5
User,UserANNfaissLSH,cosine,UserANNfaissLSH (cosine) [th: 0.05],0.0067267442691223206,3,3,0.05
User,UserFairANN_opt,cosine,UserFairANN_opt (cosine) [th: 0.5],0.006634019493178898,3,3,0.5
User,UserLSHRandomProjection,cosine,UserLSHRandomProjection (cosine) [th: 0.05],0.00617001377032789,3,3,0.05
User,UserFairANN_rank,cosine,UserFairANN_rank (cosine) [th: 0.25],0.005858637514575021,3,3,0.25
User,UserFairANN_uniform,cosine,UserFairANN_uniform (cosine) [th: 0.05],0.005169535626623983,3,3,0.05
User,UserANNfaissLSH,cosine,UserANNfaissLSH (cosine) [th: 0.75],0.0050986254367299064,3,3,0.75
User,UserFairANN_approx_degree,cosine,UserFairANN_approx_degree (cosine) [th: 0.05],0.004473273547673867,3,3,0.05
User,UserLSHRandomProjection,cosine,UserLSHRandomProjection (cosine) [th: 0.5],0.003999461601196001,2,3,0.5
User,UserANNfaissLSH,cosine,UserANNfaissLSH (cosine) [th: 0.5],0.003999243991035088,3,3,0.5
User,UserFairANN_rank,cosine,UserFairANN_rank (cosine) [th: 0.05],0.003939002091760071,3,3,0.05
User,UserFairANN_opt,cosine,UserFairANN_opt (cosine) [th: 0.05],0.003693193067864247,3,3,0.05
User,UserANNfaissLSH,cosine,UserANNfaissLSH (cosine) [th: 0.95],0.0035911671964288343,3,3,0.95
User,UserFairANN_approx_degree,cosine,UserFairANN_approx_degree (cosine) [th: 0.25],0.0034111894491554743,3,3,0.25
User,UserFairANN_opt,cosine,UserFairANN_opt (cosine) [th: 0.25],0.003115133976291663,3,3,0.25
User,UserMinhashing,jaccard,UserMinhashing (jaccard) [th: 0.75],0.00158993066272685,1,3,0.75
User,UserFairANN_uniform,jaccard,UserFairANN_uniform (jaccard) [th: 0.75],0.0015403885699803153,3,3,0.75
User,UserMinhashing,jaccard,UserMinhashing (jaccard) [th: 0.5],0.0013341549650495626,1,3,0.5
User,UserFairANN_approx_degree,jaccard,UserFairANN_approx_degree (jaccard) [th: 0.75],0.001203816676391474,3,3,0.75
User,UserFairANN_rank,jaccard,UserFairANN_rank (jaccard) [th: 0.75],0.0012013509628908763,3,3,0.75
User,UserFairANN_opt,jaccard,UserFairANN_opt (jaccard) [th: 0.75],0.0011991254310268114,3,3,0.75
User,UserFairANN_uniform,jaccard,UserFairANN_uniform (jaccard) [th: 0.05],0.001085983823978121,2,3,0.05
User,UserFairANN_rank,jaccard,UserFairANN_rank (jaccard) [th: 0.5],0.0010721907992643758,3,3,0.5
User,UserFairANN_uniform,jaccard,UserFairANN_uniform (jaccard) [th: 0.25],0.0010719112963510247,2,3,0.25
User,UserFairANN_opt,jaccard,UserFairANN_opt (jaccard) [th: 0.5],0.001070900108345457,3,3,0.5
User,UserFairANN_approx_degree,jaccard,UserFairANN_approx_degree (jaccard) [th: 0.25],0.0010695572848295567,2,3,0.25
User,UserFairANN_uniform,jaccard,UserFairANN_uniform (jaccard) [th: 0.5],0.0010639476586125909,2,3,0.5
User,UserFairANN_opt,jaccard,UserFairANN_opt (jaccard) [th: 0.05],0.001063825216855319,2,3,0.05
User,UserFairANN_rank,jaccard,UserFairANN_rank (jaccard) [th: 0.25],0.0010621643251380705,1,3,0.25
User,UserFairANN_rank,jaccard,UserFairANN_rank (jaccard) [th: 0.05],0.0010563567160484745,3,3,0.05
User,UserFairANN_approx_degree,jaccard,UserFairANN_approx_degree (jaccard) [th: 0.05],0.0010549988659595592,3,3,0.05
User,UserFairANN_opt,jaccard,UserFairANN_opt (jaccard) [th: 0.25],0.0010476347640624285,3,3,0.25
User,UserFairANN_approx_degree,jaccard,UserFairANN_approx_degree (jaccard) [th: 0.5],0.0010449046107433586,3,3,0.5
User,UserANNfaissLSH,cosine,UserANNfaissLSH (cosine) [th: 0.25],0.0008901566594582348,3,3,0.25
User,UserMinhashing,jaccard,UserMinhashing (jaccard) [th: 0.25],0.0004166180340994077,1,3,0.25
User,UserKNN,cosine,UserKNN (cosine) [th: 0.5],0.00016190331147673579,3,3,0.5
User,UserKNN,cosine,UserKNN (cosine) [th: 0.75],0.00016190331147673579,3,3,0.75
User,UserKNN,cosine,UserKNN (cosine) [th: 0.95],0.00016190331147673579,3,3,0.95
User,UserKNNfairness_interactions-items,cosine,UserKNNfairness_interactions-items (cosine) [th: 0.05],0.00016190331147673579,3,3,0.05
User,UserKNNfairness_interactions-items,cosine,UserKNNfairness_interactions-items (cosine) [th: 0.25],0.00016190331147673579,3,3,0.25
User,UserKNNfairness_interactions-items,cosine,UserKNNfairness_interactions-items (cosine) [th: 0.75],0.00016190331147673579,3,3,0.75
User,UserKNNfairness_interactions-users,cosine,UserKNNfairness_interactions-users (cosine) [th: 0.05],0.00016190331147673579,3,3,0.05
User,UserKNNfairness_interactions-users,cosine,UserKNNfairness_interactions-users (cosine) [th: 0.25],0.00016190331147673579,3,3,0.25
User,UserKNNfairness_interactions-users,cosine,UserKNNfairness_interactions-users (cosine) [th: 0.75],0.00016190331147673579,3,3,0.75
User,UserKNNfairness_interactions-users,cosine,UserKNNfairness_interactions-users (cosine) [th: 0.95],0.00016190331147673579,3,3,0.95
User,UserKNN,cosine,UserKNN (cosine) [th: 0.05],0.00016190331147673573,3,3,0.05
User,UserKNN,cosine,UserKNN (cosine) [th: 0.25],0.00016190331147673573,3,3,0.25
User,UserKNNfairness_interactions-items,cosine,UserKNNfairness_interactions-items (cosine) [th: 0.5],0.00016190331147673573,3,3,0.5
User,UserKNNfairness_interactions-items,cosine,UserKNNfairness_interactions-items (cosine) [th: 0.95],0.00016190331147673573,3,3,0.95
User,UserKNNfairness_interactions-users,cosine,UserKNNfairness_interactions-users (cosine) [th: 0.5],0.00016190331147673573,3,3,0.5
User,UserKNN,jaccard,UserKNN (jaccard) [th: 0.25],0.0001500033804046,3,3,0.25
User,UserKNN,jaccard,UserKNN (jaccard) [th: 0.5],0.0001500033804046,3,3,0.5
User,UserKNN,jaccard,UserKNN (jaccard) [th: 0.75],0.0001500033804046,3,3,0.75
User,UserKNN,jaccard,UserKNN (jaccard) [th: 0.95],0.0001500033804046,3,3,0.95
User,UserKNNfairness_interactions-items,jaccard,UserKNNfairness_interactions-items (jaccard) [th: 0.5],0.0001500033804046,3,3,0.5
User,UserKNNfairness_interactions-items,jaccard,UserKNNfairness_interactions-items (jaccard) [th: 0.75],0.0001500033804046,3,3,0.75
User,UserKNNfairness_interactions-users,jaccard,UserKNNfairness_interactions-users (jaccard) [th: 0.05],0.0001500033804046,3,3,0.05
User,UserKNNfairness_interactions-users,jaccard,UserKNNfairness_interactions-users (jaccard) [th: 0.25],0.0001500033804046,3,3,0.25
User,UserKNNfairness_interactions-users,jaccard,UserKNNfairness_interactions-users (jaccard) [th: 0.5],0.0001500033804046,3,3,0.5
User,UserKNNfairness_interactions-users,jaccard,UserKNNfairness_interactions-users (jaccard) [th: 0.95],0.0001500033804046,3,3,0.95
User,UserKNN,jaccard,UserKNN (jaccard) [th: 0.05],0.00015000338040459997,3,3,0.05
User,UserKNNfairness_interactions-items,jaccard,UserKNNfairness_interactions-items (jaccard) [th: 0.05],0.00015000338040459997,3,3,0.05
User,UserKNNfairness_interactions-items,jaccard,UserKNNfairness_interactions-items (jaccard) [th: 0.25],0.00015000338040459997,3,3,0.25
User,UserKNNfairness_interactions-items,jaccard,UserKNNfairness_interactions-items (jaccard) [th: 0.95],0.00015000338040459997,3,3,0.95
User,UserKNNfairness_interactions-users,jaccard,UserKNNfairness_interactions-users (jaccard) [th: 0.75],0.00015000338040459997,3,3,0.75
User,UserMinhashing,jaccard,UserMinhashing (jaccard) [th: 0.05],7.126886697106719e-05,1,3,0.05
